event	verdict	n_row	n_inbeam	inbeam_labels
68714	all-fc	13	1	nu-candidate
68956	keep	10	1	STM
68978	keep	11	1	nu-candidate
69000	tgm	8	1	TGM
69066	keep	8	1	STM
69286	no-inbeam-bundle	11	0	-
69308	keep	8	1	nu-candidate
70562	mixed	7	2	nu-candidate,LM
70980	tgm	12	1	TGM
71046	keep	14	1	nu-candidate
71178	all-fc	12	1	nu-candidate
71222	all-fc	12	1	nu-candidate
71266	keep	13	1	nu-candidate
71288	no-inbeam-bundle	15	0	-
71376	no-inbeam-bundle	12	0	-
71486	keep	13	1	STM
71530	keep	10	1	STM
71640	all-fc	11	1	nu-candidate
71882	tgm	10	1	TGM
71948	no-inbeam-bundle	11	0	-
72256	keep	12	1	nu-candidate
72564	no-inbeam-bundle	11	0	-
72586	keep	15	1	STM
72828	keep	12	1	STM
73004	all-fc	12	1	nu-candidate
73070	keep	9	1	nu-candidate
73422	no-inbeam-bundle	10	0	-
166650	tgm	13	1	TGM
166738	all-fc	11	1	nu-candidate
166804	keep	10	1	nu-candidate
166870	all-fc	17	1	nu-candidate
167112	keep	15	1	nu-candidate
167200	keep	10	1	STM
167222	no-inbeam-bundle	8	0	-
167354	tgm	14	1	TGM
167376	tgm	9	1	TGM
167398	keep	10	1	STM
167640	tgm	12	1	TGM
167684	all-fc	14	1	nu-candidate
167904	no-inbeam-bundle	16	0	-
168388	keep	7	1	STM
168410	lm	11	1	LM
168432	all-fc	13	1	nu-candidate
168526	all-fc	13	1	nu-candidate
168614	keep	9	1	nu-candidate
168658	all-fc	17	1	nu-candidate
169054	tgm	6	1	TGM
169202	no-inbeam-bundle	10	0	-
169208	tgm	11	1	TGM
169340	no-inbeam-bundle	11	0	-
169356	keep	11	1	nu-candidate
169488	all-fc	6	1	nu-candidate
169532	tgm	8	1	TGM
169598	mixed	10	2	TGM,nu-candidate
169620	all-fc	10	1	nu-candidate
169626	all-fc	9	1	nu-candidate
169708	lm	9	1	LM
169736	keep	11	1	STM
169758	keep	3	1	nu-candidate
169774	keep	9	1	nu-candidate
169824	all-fc	11	1	nu-candidate
169846	all-fc	12	1	nu-candidate
169890	keep	14	1	nu-candidate
170792	keep	9	1	nu-candidate
170808	keep	13	1	nu-candidate
170814	all-fc	15	1	nu-candidate
170880	all-fc	12	1	nu-candidate
170924	keep	10	1	nu-candidate
170940	tgm	19	1	TGM
170984	keep	14	1	nu-candidate
171050	keep	17	2	STM,nu-candidate
171116	keep	12	1	STM
171144	no-inbeam-bundle	11	0	-
171358	all-fc	9	1	nu-candidate
171446	tgm	6	1	TGM
171600	all-fc	12	1	nu-candidate
171892	keep	15	1	nu-candidate
172090	keep	8	1	STM
172200	all-fc	17	1	nu-candidate
172266	keep	12	1	nu-candidate
172414	tgm	12	1	TGM
