# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
em-pr-era-20260829/other/work-pr132-r5harv-mcp2k.tar.gz	9787672	988026	OK	713 members
em-pr-era-20260829/other/work-pr132-r5harv-ncpi0.tar.gz	2011129	287308	OK	136 members
em-pr-era-20260829/other/work-pr132-r5harv-nuecc48.tar.gz	5528760	809802	OK	339 members
em-pr-era-20260829/other/work-pr132-r5off-mcp1k.tar.gz	5741214	574093	OK	465 members
em-pr-era-20260829/other/work-pr132-r5off-mcp2k.tar.gz	11051516	1266086	OK	745 members
em-pr-era-20260829/other/work-pr132-r5off-ncpi0.tar.gz	2010418	288770	OK	136 members
em-pr-era-20260829/other/work-pr132-r5off-nuecc48.tar.gz	5532029	816073	OK	339 members
em-pr-era-20260829/other/work-pr132-r6be-mcp1k.tar.gz	5773233	591086	OK	465 members
em-pr-era-20260829/other/work-pr132-r6be-mcp2k.tar.gz	11112792	1302960	OK	745 members
em-pr-era-20260829/other/work-pr132-r6be-ncpi0.tar.gz	2019334	296305	OK	136 members
em-pr-era-20260829/other/work-pr132-r6be-nuecc48.tar.gz	5544759	824593	OK	339 members
em-pr-era-20260829/other/work-pr132-r6be2-mcp1k.tar.gz	5782064	593620	OK	465 members
em-pr-era-20260829/other/work-pr132-r6be2-mcp2k.tar.gz	11127101	1307669	OK	745 members
em-pr-era-20260829/other/work-pr132-r6be2-ncpi0.tar.gz	2024152	298471	OK	136 members
em-pr-era-20260829/other/work-pr132-r6be2-nuecc48.tar.gz	5557078	825959	OK	339 members
em-pr-era-20260829/other/work-pr132-r6off-mcp1k.tar.gz	5748949	575610	OK	465 members
em-pr-era-20260829/other/work-pr132-r6off-mcp2k.tar.gz	11058180	1268037	OK	745 members
em-pr-era-20260829/other/work-pr132-r6off-ncpi0.tar.gz	2010464	288830	OK	136 members
em-pr-era-20260829/other/work-pr132-r6off-nuecc48.tar.gz	5527840	814270	OK	339 members
em-pr-era-20260829/other/work-pr132-r6off2-mcp1k.tar.gz	5753128	574176	OK	465 members
em-pr-era-20260829/other/work-pr132-r6off2-mcp2k.tar.gz	11065990	1270461	OK	745 members
em-pr-era-20260829/other/work-pr132-r6off2-ncpi0.tar.gz	2013578	289474	OK	136 members
em-pr-era-20260829/other/work-pr132-r6off2-nuecc48.tar.gz	5533221	814790	OK	339 members
em-pr-era-20260829/other/work-pr132-r7am-mcp1k.tar.gz	5874435	645787	OK	465 members
em-pr-era-20260829/other/work-pr132-r7am-mcp2k.tar.gz	11538002	1500232	OK	745 members
em-pr-era-20260829/other/work-pr132-r7am-ncpi0.tar.gz	2098101	335568	OK	136 members
em-pr-era-20260829/other/work-pr132-r7am-nuecc48.tar.gz	5608642	855716	OK	339 members
em-pr-era-20260829/other/work-pr132-r7am2-mcp1k.tar.gz	5825925	621369	OK	465 members
em-pr-era-20260829/other/work-pr132-r7am2-mcp2k.tar.gz	11307533	1404687	OK	745 members
em-pr-era-20260829/other/work-pr132-r7am2-ncpi0.tar.gz	2057697	317741	OK	136 members
em-pr-era-20260829/other/work-pr132-r7am2-nuecc48.tar.gz	5582480	841479	OK	339 members
em-pr-era-20260829/other/work-pr132-r7dbg-mcp2k.tar.gz	1318118	283985	OK	66 members
em-pr-era-20260829/other/work-pr132-r7dbg2-mcp2k.tar.gz	1259219	266329	OK	66 members
em-pr-era-20260829/other/work-pr132-r7off-mcp1k.tar.gz	5754591	576603	OK	465 members
em-pr-era-20260829/other/work-pr132-r7off-mcp2k.tar.gz	11065927	1271430	OK	745 members
em-pr-era-20260829/other/work-pr132-r7off-ncpi0.tar.gz	2014574	290131	OK	136 members
em-pr-era-20260829/other/work-pr132-r7off-nuecc48.tar.gz	5534740	814489	OK	339 members
