event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
396776	11	1	1	0	0	0							cosmic-tagged	cosmic-tagged
397194	3	1	1	0	0	0							cosmic-tagged	cosmic-tagged
397238	7	0		0	0	0							nu-candidate	nu-candidate
397392	11	1	1	0	0	0							cosmic-tagged	cosmic-tagged
397480	4	0		0	0	0	8	8	2.7	2.7	5	5	nu-candidate	nu-candidate
397568	5	1	1	0	0	0							cosmic-tagged	cosmic-tagged
397722	4	1	1	0	0	0	18	18	69.0	69.0	2	2	nu-candidate	nu-candidate
397920	8	1	1	0	0	0	8	8	274.4	274.4	4	4	nu-candidate	nu-candidate
398084	4	1	1	0	0	0	15	15	5.0	5.0	9	9	nu-candidate	nu-candidate
398238	5	2	2	0	0	0	7	7	7.9	7.9	0	0	cosmic-tagged	cosmic-tagged
398260	2	0		0	0	0	5	5	170.0	170.0	6	6	nu-candidate	nu-candidate
398414	10	1	1	0	0	0	18	18	17.3	17.3	1	1	nu-candidate	nu-candidate
398436	9	3	3	0	0	0	8	8	1.6	1.6	4	4	nu-candidate	nu-candidate
398480	7	0		0	0	0							no-beam-flash	no-beam-flash
398514	8	3	3	0	0	0	18	18	2.0	2.0	5	5	nu-candidate	nu-candidate
398656	3	0		0	0	0							no-beam-flash	no-beam-flash
398690	0	0		0	0	0							cosmic-tagged	cosmic-tagged
398722	8	0		0	0	0							cosmic-tagged	cosmic-tagged
398810	8	1	1	0	0	0							nu-candidate	nu-candidate
398932	4	0		0	0	0							no-bundle	no-bundle
399042	8	2	2	0	0	0							cosmic-tagged	cosmic-tagged
399052	5	1	1	0	0	0	15	15	59.6	59.6	9	9	nu-candidate	nu-candidate
399118	7	2	2	0	0	0	9	9	149.4	149.4	5	5	nu-candidate	nu-candidate
