population	arm	tag	evt	call	j	k	nedge	nlab	verdict	flip	pair	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	blks	killed	gaps	excuses
nueCC48	work-pr57r4-scan48	root	138009	0	0	4	1	1	OK	0	SEP	8.70	61.66	5.49	79	9.0	0	0	1.51	2174	29.9	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	138009	0	4	5	1	1	OK	0	SEP	2.55	61.66	5.49	24	58.0	1	0	0.94	2136	24.9	closest	1	001	11
nueCC48	work-pr57r4-scan48	root	138009	0	6	7	1	1	OK	0	SEP	3.84	6.99	1.51	68	20.4	1	0	4.82	603	73.6	closest	1	111	00
nueCC48	work-pr57r4-scan48	root	138009	0	6	8	1	1	OK	0	SEP	6.99	7.84	1.51	180	47.7	0	0	1.04	557	77.2	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	163543	0	1	5	1	1	OK	0	SEP	3.27	60.80	4.33	62	5.9	0	0	1.68	1954	41.7	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	163543	0	2	5	1	1	OK	0	SEP	2.17	60.80	4.33	22	58.4	1	0	1.39	2199	27.1	closest	1	101	01
nueCC48	work-pr57r4-scan48	root	163543	0	2	6	1	1	OK	0	SEP	2.17	4.86	0.63	22	26.6	1	0	3.49	2364	28.6	closest	1	101	00
nueCC48	work-pr57r4-scan48	root	163543	0	4	5	1	1	OK	0	SEP	0.94	60.80	4.33	16	64.4	1	0	2.24	1836	46.2	closest	1	111	11
nueCC48	work-pr57r4-scan48	root	163543	0	4	7	1	1	OK	0	SEP	0.94	12.31	0.99	16	89.0	1	0	3.03	1831	47.0	closest	1	111	00
nueCC48	work-pr57r4-scan48	root	163543	0	5	7	1	1	OK	0	SEP	12.31	60.80	4.33	163	33.9	0	0	1.13	2047	37.4	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	163543	0	5	9	2	1	good	0	SEP	7.03	60.80	4.33	139	83.3	1	0	1.83	924	59.9	closest|dir1	1|1	001|001	00|00
nueCC48	work-pr57r4-scan48	root	163543	0	6	7	1	1	OK	0	SEP	4.86	12.31	0.99	48	56.8	0	0	4.89	2261	34.9	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	163543	0	9	10	1	1	OK	0	SEP	7.03	13.84	1.29	139	80.2	1	0	1.00	872	64.2	closest	1	101	10
nueCC48	work-pr57r4-scan48	root	168596	0	1	6	1	1	OK	0	SEP	1.19	2.43	0.47	14	25.5	1	0	0.94	2491	64.2	closest	1	011	11
nueCC48	work-pr57r4-scan48	root	168596	0	1	11	1	1	OK	0	SEP	1.19	75.84	3.84	14	60.6	1	0	1.47	2431	64.4	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	168596	0	2	3	1	1	OK	0	SEP	2.22	15.59	0.44	9	28.5	0	0	4.33	1388	58.9	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	168596	0	3	4	1	1	OK	0	SEP	0.63	15.59	0.39	9	89.5	1	0	3.62	4864	45.0	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	168596	0	3	9	1	1	OK	0	SEP	3.63	15.59	0.45	30	47.1	1	0	4.71	4638	43.3	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	168596	0	3	10	1	1	OK	0	SEP	1.50	15.59	0.39	9	56.6	1	0	4.08	4572	44.5	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	168596	0	3	11	1	1	OK	0	SEP	15.59	75.84	3.84	98	49.3	0	0	1.39	4784	45.4	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	168596	0	4	11	1	1	OK	0	SEP	0.63	75.84	3.84	9	70.8	1	0	1.35	4948	44.5	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	168596	0	5	6	1	1	OK	0	SEP	1.19	2.43	0.47	10	88.1	1	0	3.54	2397	64.2	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	168596	0	5	11	1	1	OK	0	SEP	1.19	75.84	3.84	10	51.9	1	0	1.55	2156	64.6	closest	1	001	00
