sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
mcp1k	18255	1	56463	one-sided	22	671	11	196.1	7	0.47	23	0											3.31	92	41	41	1.73	41	0	12	17	0.47	27.9	318.9	0	1	-	-165.74	-12.7	347.54	0	165.74			
mcp1k	18255	1	57441	eroded	20	189	10	102.0	9	3.62	6	0	175.75	74.21	-70.47	88.85	49007	25001	0	0	11	11										3.62	-195.4	416.6	1	1	-	-3.62	-195.43	416.61	0	3.62			
mcp1k	18255	1	57485	no-contact	17	171	7	80.8	4	9.6	0	0																										-44.6	-98.5	19.06	0	44.6			
mcp1k	18255	1	57575	spanned	12	504	7	285.1	6	0.57	42	34	1.8	1.05	-0.89	0.57	12000	12000	0	0	13	13	2.64	116	84	84		0	1	12	12	9.06	15.9	345.5	0	1	-	-44.99	-3.85	234.13	0	44.99	48725	49390	0.987
mcp1k	18255	1	57661	eroded	18	578	19	122.3	7	0.5	182	0	163.52	134.62	-5.19	87.64	26026	18008	0	1	2212	11										0.5	45.1	7.7	0	1	-	94.04	184.17	135.85	0	94.04			
mcp1k	18255	1	57883	no-contact	16	295	5	97.4	2	11.73	0	0																										105.28	37.85	266.31	0	105.28			
mcp1k	18255	1	57903	eroded	24	202	7	97.3	4	3.53	0	2	180.31	150.04	-36.72	63.29	14004	24010	0	0	13	13										3.53	168.7	401.2	0	1	+	82.64	98.0	162.06	0	82.64			
mcp1k	18255	1	58321	spanned	19	345	4	177.8	2	0.74	10	9	2.4	1.07	-0.74	1.41	19001	19001	0	0	2212	2212	3.71	61	22	22	0.14	22	1	19	19	74.25	127.3	473.1	1	2	0+	74.25	127.31	473.07	0	74.25	33822	48646	0.695
mcp1k	18255	1	58343	eroded	23	14	5	4.2	5	0.53	4	0	205.18	109.39	-52.27	121.32	24002	41004	0	0	11	11										0.53	165.1	186.7	0	1	-	-0.88	112.31	157.9	0	0.88			
mcp1k	18255	1	58345	no-contact	7	88	4	47.7	3	80.22	0	0																										90.89	199.85	128.15	0	90.89			
mcp1k	18255	1	58543	eroded	50	93	23	2.6	18	1.79	0	10	10.06	5.8	-6.43	1.79	37010	50028	0	0	11	11	8.82	2	80	80	8.73	0	1	7	7	1.79	-156.6	152.8	1	1	+	1.79	-156.6	152.82	0	1.79			
mcp1k	18255	1	58607	one-sided	37	91	12	15.7	8	2.89	0	3																				2.89	-80.3	132.0	0	1	+	31.33	56.16	352.15	0	31.33			
mcp1k	18255	1	58653	no-contact	4	174	8	94.3	7	101.75	0	0																										-137.14	40.1	89.62	0	137.14			
mcp1k	18255	1	59003	one-sided	18	444	3	144.4	1	0.7	35	0											2.56	139	99	99	1.66	36	0	18	22	0.7	-14.5	360.9	1	1	-	-0.7	-14.54	360.89	0	0.7			
mcp1k	18255	1	59025	spanned	19	646	7	299.7	4	0.87	11	10	1.8	0.44	-0.87	0.88	19001	19001	0	0	13	13	2.02	58	46	46	0.03	46	1	19	19	55.98	43.6	252.1	0	1	0	-164.07	-25.35	132.93	0	164.07	23318	52386	0.445
mcp1k	18255	1	59047	tiny		0		1.1	0																																				
mcp1k	18255	1	59085	one-sided	3	77	6	27.1	2	5.35	8	0																				5.35	198.4	71.2	0	2	--	-11.8	193.52	54.96	0	11.8			
mcp1k	18255	1	59093	no-contact	15	250	17	120.1	14	13.68	0	0																										-86.72	-18.72	182.78	0	86.72			
mcp1k	18255	1	59179	no-contact	15	311	7	168.6	4	63.67	0	0																										-80.77	11.26	174.64	0	80.77			
mcp1k	18255	1	59247	spanned	15	277	4	159.4	2	0.57	11	11	1.8	1.01	-0.92	0.57	15004	15004	0	0	211	211	2.47	73	58	58		0	1	15	15	8.96	160.9	147.0	0	2	0+	-121.81	80.11	123.22	0	121.81	31339	58064	0.54
mcp1k	18255	1	59261	no-contact	11	180	10	94.5	8	41.29	0	0																										99.73	126.2	175.26	0	99.73			
mcp1k	18255	1	59335	no-contact	11	167	11	71.2	8	30.51	0	0																										-172.73	46.84	79.05	0	172.73			
mcp1k	18255	1	59371	eroded	8	230	10	107.8	7	2.0	0	15	210.43	72.43	-195.57	2.0	18005	8001	0	0	11	13	376.45	0	0	0						2.0	199.8	76.7	0	1	+	46.87	130.47	21.85	0	46.87			
mcp1k	18255	1	59459	tiny	-1	2	1	1.4	1																													0.0	0.0	0.0	1				
mcp1k	18255	1	59553	no-contact	10	150	11	78.3	9	29.47	0	0																										49.59	-137.45	385.1	0	49.59			
mcp1k	18255	1	59685	no-contact	6	351	4	168.2	2	92.94	0	0																										143.36	-142.35	195.44	0	143.36			
mcp1k	18255	1	59753	no-contact	14	28	14	3.1	13	50.08	0	0																										68.26	-170.8	145.8	0	68.26			
mcp1k	18255	1	59899	no-contact	5	72	3	40.2	2	157.79	0	0																										-183.72	-4.36	47.42	0	183.72			
mcp1k	18255	1	59929	no-contact	20	275	13	139.7	11	65.51	0	0																										201.36	120.3	364.3	0	201.36			
mcp1k	18255	1	60017	no-contact	7	85	3	46.7	2	166.62	0	0																										201.35	110.69	391.03	0	201.35			
mcp1k	18255	1	60369	tiny	-1	2	1	9.7	1																													0.0	0.0	0.0	1				
mcp1k	18255	1	60669	no-contact	17	179	8	81.0	4	37.36	0	0																										-55.16	68.38	66.51	0	55.16			
mcp1k	18255	1	60933	spanned	18	299	11	145.3	5	0.76	13	14	1.8	0.81	-0.85	0.76	18007	18007	0	0	11	11	2.44	75	63	63		0	1	18	18	24.66	103.3	349.0	0	1	0	-70.23	25.07	277.35	0	70.23	48694	60316	0.807
mcp1k	18255	1	61071	no-contact	4	10	4	3.1	3	126.4	0	0																										-128.82	-194.74	403.16	0	128.82			
mcp1k	18255	1	61307	tiny	17	7	2	1.0	2																													-107.38	168.29	10.0	0	107.38			
mcp1k	18255	1	61313	no-contact	26	13	1	1.9	1	28.78	0	0																										43.44	166.26	235.08	0	43.44			
mcp1k	18255	1	61351	no-contact	17	616	7	352.5	6	25.06	0	0																										-63.47	-123.01	190.61	0	63.47			
mcp1k	18255	1	61417	no-contact	9	309	7	157.3	5	11.13	0	0																										81.78	-83.98	387.26	0	81.78			
mcp1k	18255	1	61461	no-contact	10	319	17	138.9	12	31.31	0	0																										102.91	-91.58	161.51	0	102.91			
mcp1k	18255	1	61579	spanned	22	456	16	156.2	6	0.74	12	10	1.8	0.9	-0.82	0.74	20000	20000	0	0	13	13	2.75	51	59	59	0.08	59	1	20	20	3.37	-145.0	61.8	0	1	-	46.5	-41.33	167.75	0	46.5	26944	49145	0.548
mcp1k	18255	1	61637	tiny	14	6	3	1.6	3																													20.18	-198.03	150.68	0	20.18			
