sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	393212	0	4.271	4.291	10	1530236	0	nu-candidate	12	1	1	1	0	2.026	64.7	25	33.352062	184.19086	190.94597	0.81584644	-15.0	1.0	1.0	0.7	0.0	839.3788
mcp1k	18255	1	393256	0	1.643	1.516	9	1193060	0	no-bundle	8	0	1	0	0													
mcp1k	18255	1	393322	0	2.033	0.921	8	1193128	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	393410	0	3.172	1.031	10	1193476	0	cosmic-tagged	7	1	1	0	2													
mcp1k	18255	1	393542	0	2.308	1.142	9	1194016	0	cosmic-tagged	15	1	1	0	1													
mcp1k	18255	1	393608	0	3.228	2.482	10	1529468	0	nu-candidate	10	1	1	1	0	1.449	48.1	1	96.56637	101.174934	500.00766	0.5270539	-15.0	1.0	1.0	0.7	0.0	258.31628
mcp1k	18255	1	394268	0	5.484	1.471	12	1192600	0	no-beam-flash	11	0	0	0	0													
mcp1k	18255	1	394488	0	6.271	0.835	13	1192916	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18255	1	394532	0	6.283	3.065	13	1526440	0	nu-candidate	11	1	1	1	0	1.452	26.0	10	197.66275	-187.62608	22.457859	-1.4377552	-4.300936	1.0	0.0	0.7	0.0	206.10313
mcp1k	18255	1	394642	0	8.662	4.045	15	1526776	0	nu-candidate	10	1	1	1	0	1.476	306.8	2	19.566038	122.172226	3.226838	2.8947845	-4.300936	1.0	0.0	0.7	0.0	718.0425
mcp1k	18255	1	394796	0	9.779	4.169	16	1528144	0	nu-candidate	11	1	1	1	0	1.139	159.5	9	37.04591	138.10405	252.96031	2.7565358	-15.0	1.0	0.0	0.7	0.0	849.77734
mcp1k	18255	1	394906	0	6.157	0.926	13	1196340	0	cosmic-tagged	14	1	1	1	1	0.810	1.2	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18255	1	395060	0	8.635	3.774	15	1528336	0	nu-candidate	16	1	1	1	0	1.078	125.4	9	8.347183	69.84082	0.77593994	-1.4304566	-15.0	1.0	1.0	0.7	0.0	557.7941
mcp1k	18255	1	395148	0	6.220	1.306	13	1191260	0	cosmic-tagged	8	1	1	0	1													
mcp1k	18255	1	395258	0	7.149	1.081	13	1193064	0	no-beam-flash	8	0	0	0	0													
mcp1k	18255	1	395390	0	8.070	2.617	14	1527816	0	nu-candidate	8	1	1	1	0	1.376	3.1	4	99.2592	98.743866	375.88654	-1.6435204	-15.0	1.0	0.0	0.7	0.0	84.23092
mcp1k	18255	1	395610	0	9.422	4.125	16	1530156	0	nu-candidate	15	1	1	1	0	1.276	199.3	3	7.9474244	101.12997	183.85878	1.5673292	-15.0	1.0	1.0	0.7	0.0	1176.0211
