evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
279977	mcp2k	ai-scanner	0	15002	2.32	1	1	0	15002	15002	15002	15002	15002	15002	15002	15002	1
280017	mcp1k	human	0	8001	1.47	0	1	0	8003	13004	8003	8003	8003	8003	8003	8003	0
280159	mcp2k	human	0	12001	1.95	1	1	0	None	12001	12001	12001	12001	12001	12001	None	1
280351	mcp2k	ai-scanner	0	10002	0.36	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
280598	mcp1k	human	0	15002	0.10	1	1	0	15002	15002	15002	15002	15002	15002	15002	15002	1
280709	mcp2k	human	0	46032	0.31	0	0	0	11001	32023	11001	11001	11001	11001	32023	11001	0
280752	mcp1k	human	0	13001	0.15	0	0	0	13002	36011	13002	13002	13002	13002	13002	13002	0
280774	mcp1k	human	0	16002	0.19	0	0	0	16003	16003	16003	16003	16003	16003	16003	16003	0
280853	mcp1k	human	0	11003	0.05	1	1	0	11003	11003	11003	11003	11003	11003	11003	11003	1
280945	mcp2k	human	0	5000	0.00	0	0	0	5003	23011	5003	5003	5003	5003	5003	5003	0
280972	mcp1k	human	0	7005	0.15	1	1	0	7005	7005	7005	7005	7005	7005	7005	7005	1
280994	mcp1k	human	0	18002	0.00	0	0	0	18002	45010	18002	18002	18002	18002	45010	18002	1
281214	mcp1k	human	0	60039	0.39	1	1	0	15001	60039	60039	60039	60039	60039	60039	15001	1
281485	mcp1k	human	0	88076	0.11	0	0	0	15005	15010	15010	15005	15005	15010	15010	15005	0
281505	mcp1k	human	0	18002	0.22	1	1	0	18002	60010	18002	18002	18002	18002	60010	18002	1
281507	mcp1k	human	0	8002	0.52	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
281527	mcp1k	human	0	14002	0.28	1	1	0	14002	54005	14002	14002	14002	14002	54005	14002	1
281567	mcp2k	human	0	82133	0.00	0	0	0	99181	95157	99181	99181	99181	99181	95157	99181	0
281595	mcp1k	human	0	20007	0.75	1	1	0	20005	20005	20005	20005	20005	20005	20005	20005	0
281639	mcp1k	human	0	80023	0.00	0	0	0	23002	23000	23002	23002	23002	23002	23000	23002	0
281727	mcp1k	human	0	10001	0.00	0	0	0	10001	16004	10001	10001	10001	10001	16004	10001	1
281781	mcp2k	human	0	88099	0.52	0	0	0	14004	78074	14004	14004	14004	14004	78074	14004	0
281837	mcp1k	human	0	63047	0.26	0	0	0	13003	63045	63045	63045	63045	63045	63045	13003	0
281953	mcp1k	human	0	10000	0.00	1	1	0	10000	16003	10000	10000	10000	10000	16003	10000	1
281985	mcp2k	ai-scanner	0	17002	1.25	1	1	0	17002	22005	17002	17002	17002	17002	22005	17002	1
282057	mcp1k	human	0	19002	0.15	1	1	0	19002	19001	19002	19002	19002	19002	19001	19002	1
282072	mcp1k	human	0	7002	0.41	1	1	0	7002	7001	7001	7001	7001	7001	7001	7002	0
282204	mcp1k	human	0	4002	2.90	1	1	0	4002	4002	4002	4002	4002	4002	4002	4002	1
282217	mcp1k	human	0	9002	0.24	1	1	0	9002	9002	9002	9002	9002	9002	9002	9002	1
282231	mcp1k	human	0	19000	0.00	1	1	0	19001	69006	19001	19001	19001	19001	69006	19001	0
282385	mcp1k	human	0	11003	0.32	0	0	0	11003	11001	11001	11001	11001	11001	11001	11003	0
282459	mcp1k	human	0	10002	0.34	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
282491	mcp2k	human	0	18001	0.59	0	0	0	18002	26003	18002	18002	18002	18002	26003	18002	0
282666	mcp1k	human	0	10002	0.15	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
282737	mcp1k	human	0	21003	0.31	1	1	0	21003	27006	21003	21003	21003	21003	27006	21003	1
282749	mcp2k	ai-scanner	0	17006	2.44	1	1	0	17006	17006	17006	17006	17006	17006	17006	17006	1
282899	mcp1k	human	0	7006	0.33	0	0	0	7006	7000	7000	7000	7000	7000	7000	7006	0
282909	mcp2k	human	0	4001	0.00	0	0	0	4008	78101	4008	4008	4008	4008	78101	4008	0
282979	mcp1k	human	0	44039	0.34	0	0	0	14001	18009	14001	14001	14001	14001	18009	14001	0
283009	mcp1k	human	0	23003	0.61	1	1	0	23003	23003	23003	23003	23003	23003	23003	23003	1
283040	mcp1k	human	0	2003	0.83	1	1	0	2003	2003	2003	2003	2003	2003	2003	2003	1
283091	mcp1k	human	0	24002	1.22	0	0	0	24002	32004	24002	24002	24002	24002	32004	24002	1
283229	mcp1k	human	0	6002	1.50	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
283299	mcp2k	ai-scanner	0	11003	0.00	1	1	0	11002	11003	11003	11003	11003	11003	11003	11002	1
283463	mcp1k	human	0	14003	0.73	0	0	0	14003	25010	14003	14003	14003	14003	25010	14003	1
