# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
49698	ql/mabc-apa0-face0.zip	695df7e509d5fb600d8a889e94ff8e0c1bf1016d24914c4daa58cae07c932c7c	2
49698	ql/mabc-apa1-face0.zip	d4d048db2868cde76b555bf9709a6ea240f5dd3b6c156dbd9a200d4c5c969331	2
49698	ql/pctree-evt49698.tar.gz	dbea35253de49e0801c4fd9624af030ceee97a9535496cb3c11d4814635b7c0a	410
49742	img/icluster-apa0-active	ca0bf966950d5d49a5a1788418c09d2ba4f8315d742b84502839bdce317b3654	12
49742	img/icluster-apa0-masked	de949675b697f7f8b679c745baf7eebf6b3b7b0d6bedd8780a522d75cce789c3	9
49742	img/icluster-apa1-active	a61d574d9e09bd709f2447b45064c93574d5eaa3d6e8249cb0c7c30eda6d167e	12
49742	img/icluster-apa1-masked	93158ac54d48cc259b3a0ec9e56aa7b4695f992d0628306f6833de57117bc143	9
49742	ql/mabc-all-apa.zip	4345acb8b37b9248797c133c859c0cf2ae6939abaf85008592365dc8c2bd7296	5
49742	ql/mabc-apa0-face0.zip	13488621bae6fbf1cb525de64e8a4b174f855ffc09e409bfef40ef373de68440	2
49742	ql/mabc-apa1-face0.zip	c7c4525b1a90f97f4875f9d76b037ff68c0bc270d427f4de1c752f42e2181e3a	2
49742	ql/pctree-evt49742.tar.gz	478df5a7229011e11bb36eb63098d17a9d6dd72119d79efba81ba74722c5272d	412
49745	img/icluster-apa0-active	f3419ece43624169cb4d4a2ea4a4f8913f59b1e371759d48e84acf17f00808be	12
49745	img/icluster-apa0-masked	7a56bbda19b6542b7a43375f298fcd2c1e2eec4038437147848554c8ce54493d	9
49745	img/icluster-apa1-active	f01a58e50040a3ad1f59939d7b337ff0dae080c5f017ffd025d0af4c16eba25b	12
49745	img/icluster-apa1-masked	aa8913629288bc1ad61444372fbc8144fcec08bdefba7e616941e0031c4b3f5d	9
49745	ql/mabc-all-apa.zip	c404ae1142b73f4e43cf7d8a7b88964114ba7ca4733628b2271654fb757f0662	5
49745	ql/mabc-apa0-face0.zip	87aa5726510191f135667dd586b46328518a2933faebb909489ce0662c722691	2
49745	ql/mabc-apa1-face0.zip	8b13e7a3467e594b90e29330ee6456c5b06b9abccca26f72ab0e398810f96542	2
49745	ql/pctree-evt49745.tar.gz	b73da5b736386d23d9e332cf7a03964223595a39b60f53c1ad43ade0f1178dce	412
49767	img/icluster-apa0-active	1659b0a9cd8c4abfb11d4dd61b36e592b36729b1c0a7eebd3b8946d3837296dd	12
49767	img/icluster-apa0-masked	e3bd43d4426140d4350be60c1f47276a38e244f1b46f251d56b89991337971a4	9
49767	img/icluster-apa1-active	14f20be9afcbec528e8244f6179a727b2d0160e8d1d548cd6948ad5a5ea4b9d2	12
49767	img/icluster-apa1-masked	8f3d76bb42a93800f746698dd1af2955290b01fa6f5b98fe9694a17b6ebce9ce	9
49767	ql/mabc-all-apa.zip	a0cd49a9b2efd6c58523a1908d86e0c4dca7aea7e845b8f20cfc3715134de5b2	5
49767	ql/mabc-apa0-face0.zip	2545c01c59a3fbd425e491b7c96b65fe585e44a586ee2808dac64495d9ba70e7	2
49767	ql/mabc-apa1-face0.zip	7c6ba0502b3c9736af21f0e3409b6c8e0942885a3564a0ecca96fdb84921361a	2
49767	ql/pctree-evt49767.tar.gz	f648f380b1edefcf1107ff60e32a2d6304f214e8fce24ab30d04487e9c619b1b	412
49789	img/icluster-apa0-active	f1f7017ea0a3ac82b3f4c95d66baccbfe7bdbce14d5924769940b81622eab779	12
49789	img/icluster-apa0-masked	8c5146e3d032eddb3f3e227e17605e77bc444b97892215482648a02f3ecf8374	9
49789	img/icluster-apa1-active	86ad4a62a8f90767bcf628ff55c84924dece02ab60d86dae7b02b4fa2cf3c57a	12
49789	img/icluster-apa1-masked	9dc6f936a1f5204ff828b2d38c34cdbb70e0f13a56391d35f16f9254dceec0e8	9
49789	ql/mabc-all-apa.zip	ec74ed9bbeb10604d3470eb13a89cda026a9e145a28e64e68a7c36397a06658b	5
49789	ql/mabc-apa0-face0.zip	7ead5676ec9d36291fb0fe95ac9464e600a794d309037607d91c8e5c8b871e04	2
49789	ql/mabc-apa1-face0.zip	50828faa8df7f0463db2c2965de2a60198a2af26584a346fe2397fbbb2ea7aa1	2
49789	ql/pctree-evt49789.tar.gz	4a72e73256545408c580346cbc54413fd4394519ac33ca968e627520a954fded	412
49877	img/icluster-apa0-active	f5b183e388f2d4ff34816e0c48afd860d74fa8017c9179c07e07346e48dd5f4f	12
49877	img/icluster-apa0-masked	2c0f1398a609b2b153c2d5caab8107d2b393858673f9d76dd8adf24761c237da	9
49877	img/icluster-apa1-active	2f020fb78af0078b7bee0cf23f97415886c6d87ed1904dfa6185c59559674222	12
49877	img/icluster-apa1-masked	87d28287b5b7eef8b682a274b5dda8f4317793e55ce5b1174be4b5b493223c85	9
49877	ql/mabc-all-apa.zip	cabb2d0e3957211d03fa14c890a5e10e4cce5d547a289d730df3e703a4e29c4b	5
49877	ql/mabc-apa0-face0.zip	31a62f756b28cfe8082cba9bf5fcb6067991113add215ca3a39d63c0e2869936	2
49877	ql/mabc-apa1-face0.zip	a0451d259c221ebce7047bb17270891c09cb4952274117db7f78b95ff2b27680	2
