evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d
71872	1	0.551	1	1.342	1	1.342	1	1.342
72055	1	0.849	1	0.076	1	0.076	1	0.076
72099	1	0.0	1	0.0	1	0.0	1	0.0
72170	1	0.288	1	0.104	1	0.104	1	0.104
72174	1	1.051	1	1.08	1	1.08	1	1.08
72742	1	0.615	1	0.368	1	0.368	1	0.368
72759	0	2.261	0	2.543	0	2.543	0	2.543
72840	1	0.598	1	0.747	1	0.747	1	0.747
72940	1	0.0	1	0.0	1	0.0	1	0.0
73336	1	0.34	1	0.236	1	0.236	1	0.236
73412	1	0.444	1	0.48	1	0.48	1	0.48
73688	0	58.016	0	57.598	0	57.598	0	57.598
73698	1	0.0	1	0.043	1	0.043	1	0.043
73727	0	10.999	0	10.999	0	10.999	0	10.999
73838	1	0.241	0	0.786	0	0.786	0	0.786
74146	0	96.175	0	96.003	0	96.003	0	96.003
74270	0	16.994	0	16.994	0	16.994	0	17.145
74326	1	0.726	1	0.515	1	0.515	1	0.515
74336	1	0.37	1	0.507	1	0.507	1	0.507
74380	1	0.308	1	0.183	1	0.183	1	0.183
75040	1	0.155	0	1.727	0	1.727	0	1.727
75135	1	1.196	1	1.008	1	1.008	1	1.008
75206	1	0.0	1	1.356	1	1.356	1	1.356
75316	0	9.567	0	8.454	0	8.454	0	9.156
75377	1	0.382	1	0.655	1	0.655	1	0.655
75554	0	513.454	0	513.454	0	513.454	0	513.454
75678	1	0.0	1	0.0	1	0.0	1	0.0
75700	1	2.877	1	2.243	1	2.243	1	2.243
75729	0	3.986	0	2.17	0	2.17	0	3.988
75862	1	0.914	1	1.547	1	1.547	1	1.547
75954	1	0.142	1	0.248	1	0.248	1	0.248
76038	1	0.422	1	0.305	1	0.305	1	0.305
76059	1	0.123	1	0.252	1	0.252	1	0.252
76250	1	0.735	1	1.588	1	1.588	1	1.588
76280	1	1.012	1	0.729	1	0.729	1	0.729
76346	0	27.549	0	19.971	0	30.266	0	30.266
76350	1	0.776	0	62.853	0	62.853	1	0.057
76866	0	19.96	0	19.96	0	19.96	0	19.96
76888	1	0.709	1	1.202	1	1.202	1	1.202
76998	1	0.0	1	0.0	1	0.0	1	0.0
77328	1	1.157	1	0.227	1	0.227	1	0.227
77702	1	0.25	1	0.882	1	0.882	1	0.882
77846	1	0.479	1	0.413	1	0.413	1	0.413
77878	0	2.845	0	2.629	0	2.629	0	2.629
77978	1	0.83	1	1.237	1	1.237	1	1.237
78242	1	0.524	1	0.919	1	0.919	1	0.919
79491	1	0.33	1	0.779	1	0.779	1	0.779
79616	1	0.0	1	0.0	1	0.0	1	0.0
81420	1	2.965	1	2.291	1	2.291	1	2.291
82322	0	9.043	0	9.043	0	9.043	0	9.043
90135	1	0.0	1	0.0	1	0.0	1	0.0
90179	1	0.225	1	1.02	1	1.02	1	1.02
91235	1	0.187	1	0.19	1	0.19	1	0.19
91367	1	0.498	1	0.657	1	0.657	1	0.657
91697	1	2.195	1	0.249	1	0.249	1	0.249
91917	1	0.0	1	0.321	1	0.321	1	0.321
92134	1	0.77	1	0.469	1	0.469	1	0.469
92225	0	2.209	0	2.384	0	2.384	0	2.384
92904	0	25.825	0	25.825	0	25.825	0	25.825
92992	1	1.337	1	1.584	1	1.584	1	1.584
93105	1	0.513	1	0.178	1	0.178	1	0.178
93545	1	0.0	1	0.0	1	0.0	1	0.0
93677	1	0.034	1	0.378	1	0.378	1	0.378
93696	1	0.46	1	0.359	1	0.359	1	0.359
93776	1	0.0	1	0.0	1	0.0	1	0.0
94092	1	2.953	0	4.671	0	4.671	0	4.671
94224	1	0.32	1	0.238	1	0.238	1	0.238
94293	1	0.53	1	0.278	1	0.278	1	0.278
94392	1	0.188	1	1.812	1	1.812	1	1.812
94546	1	0.079	0	4.367	0	4.367	1	0.8
94678	1	0.0	1	0.0	1	0.0	1	0.0
94942	0	3.44	0	3.394	0	3.394	0	3.394
95074	1	0.808	1	0.542	1	0.542	1	0.542
95170	0	68.769	0	68.706	0	68.706	0	68.706
95405	1	0.663	1	0.362	1	0.362	1	0.362
95412	1	0.194	1	0.552	1	0.943	1	0.943
95690	1	2.243	1	2.473	1	2.473	1	2.473
95899	1	0.417	0	1.735	0	1.735	1	0.156
96306	1	0.471	1	0.404	1	0.404	1	0.404
96383	1	0.0	0	3.861	0	3.861	0	3.861
97010	1	0.344	1	0.927	1	0.927	1	0.927
97062	0	35.176	0	32.986	0	32.986	0	32.986
97084	1	0.869	1	0.443	1	0.443	1	0.443
97231	1	0.06	0	3.105	0	3.105	1	0.625
97260	0	17.62	1	1.322	1	1.322	1	1.322
98294	1	0.0	0	1.091	0	1.091	1	0.0
98338	1	0.0	1	2.131	1	2.131	1	2.131
98353	1	0.773	1	0.548	1	0.548	1	0.548
98470	1	0.608	1	0.378	1	0.378	1	0.378
98704	1	0.0	0	3.095	0	3.095	0	3.095
98778	1	0.605	1	0.595	1	0.595	1	0.595
98844	0	45.694	1	1.299	0	51.148	1	1.299
98947	1	0.416	1	0.0	1	0.0	1	0.0
99035	0	6.2	1	2.022	0	6.433	0	6.433
99232	1	0.361	1	0.001	1	0.001	1	0.001
99716	1	0.141	1	0.163	1	0.163	1	0.163
99782	1	0.32	1	1.415	1	1.415	1	1.415
99838	1	0.673	1	0.705	1	0.705	1	0.705
99959	1	0.0	1	0.0	1	0.0	1	0.0
99966	1	0.846	1	1.182	1	1.182	1	1.182
100135	1	0.692	1	2.617	1	2.617	1	2.617
100222	1	0.384	1	0.44	1	0.44	1	0.44
100245	1	0.231	1	0.77	1	0.77	1	0.77
100322	1	0.0	1	0.0	1	0.0	1	0.0
100420	1	1.17	1	2.233	1	2.233	1	2.233
100421	1	0.0	0	4.787	0	4.787	0	4.787
100564	1	0.647	1	0.433	1	0.433	1	0.433
101004	0	7.332	0	7.332	0	7.332	0	7.332
101224	0	50.379	0	50.379	0	50.379	0	50.379
101454	1	1.242	1	0.456	1	0.456	1	0.456
101498	0	98.167	0	34.94	0	34.94	0	96.794
101554	1	0.227	1	0.465	1	0.465	1	0.465
101675	1	1.985	1	1.999	1	1.999	1	1.999
102247	0	2.054	0	2.054	0	2.054	0	2.054
102841	1	1.026	1	0.851	1	0.851	1	0.851
103204	1	0.323	1	0.0	1	0.0	1	0.0
103391	0	5.573	0	3.819	0	3.819	0	3.819
103798	1	0.182	1	0.56	1	0.56	1	0.56
103952	1	0.25	0	33.685	0	33.685	1	0.366
104216	1	0.74	1	0.185	1	0.185	1	0.185
104260	1	0.0	1	0.0	1	0.0	1	0.0
104304	1	1.351	1	0.37	1	0.37	1	0.37
104920	1	0.524	1	0.345	1	0.345	1	0.345
105140	1	0.0	1	0.0	1	0.0	1	0.0
105316	1	0.306	1	0.12	1	0.12	1	0.12
105426	1	0.0	1	0.0	1	0.0	1	0.0
105492	0	12.368	1	0.0	1	0.0	0	12.697
156093	1	1.373	1	0.0	1	0.0	1	0.0
157281	1	1.301	1	0.565	1	0.565	1	0.565
158227	1	0.0	1	0.0	1	0.0	1	0.0
159569	1	1.184	1	4.434	1	4.434	1	4.434
161043	1	0.364	1	0.668	1	0.668	1	0.668
162143	1	0.418	1	0.935	1	0.935	1	0.935
163309	1	0.0	1	0.0	1	0.0	1	0.0
163771	1	0.0	0	101.997	0	101.997	1	0.0
164475	1	0.294	1	0.404	1	0.404	1	0.404
165157	0	6.41	0	20.237	0	20.237	0	20.056
165544	1	0.219	0	19.576	0	19.576	1	0.203
165767	0	44.699	0	17.235	0	44.552	0	44.552
166006	1	0.96	1	0.825	1	0.825	1	0.825
166050	1	0.051	1	0.057	1	0.057	1	0.057
166295	1	0.0	0	1.737	0	1.737	0	1.737
166996	0	19.534	1	2.272	0	19.477	0	19.477
167351	0	134.892	0	134.892	0	134.892	0	134.892
167744	1	0.0	1	0.0	1	0.0	1	0.0
168209	1	0.074	1	0.109	1	0.109	1	0.109
168448	1	0.789	1	0.999	1	0.999	1	0.999
