sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18255	1	408326	0	17.040	8.227	19	1213732	0	nu-candidate	17	1	1	1	0	1.745	211.8	2	66.89825	-98.93109	231.95389	4.9818306	-15.0	1.0	0.0	0.7	0.0	913.32916	1.8410068	0.0	1.8410068	1	1.0184767
mcp2k	18255	1	408348	0	8.398	0.966	10	362780	0	no-beam-flash	12	0	0	0	0																		
mcp2k	18255	1	408414	0	11.159	2.533	13	643292	0	no-beam-flash	16	0	0	0	0																		
mcp2k	18255	1	408678	0	13.429	6.752	15	1181232	0	nu-candidate	11	1	1	1	0	0.820	59.1	27	-170.76186	-14.295777	435.22507	0.4956806	-7.2973304	1.0	0.0	0.7	0.0	529.1135	14.880582	0.0	14.880582	5	46.98591
mcp2k	18255	1	409052	0	12.210	5.703	14	1228532	0	nu-candidate	12	1	1	1	0	1.882	164.9	1	190.44492	-112.207825	321.81876	-1.2915916	-15.0	1.0	1.0	0.7	0.0	521.7295	1.910573	0.0	1.910573	1	0.0
mcp2k	18255	1	409118	0	8.459	0.969	10	384412	0	no-beam-flash	13	0	0	0	0																		
mcp2k	18255	1	409140	0	14.494	6.250	16	1220180	0	nu-candidate	11	1	1	1	0	1.052	73.9	9	-75.79961	3.756099	418.1617	0.8028268	-2.5617678	1.0	0.0	0.7	0.0	458.60483	11.977282	0.0	11.977282	4	0.0
mcp2k	18255	1	409184	0	9.566	1.209	11	424592	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	409250	0	11.721	0.734	13	324544	0	nu-candidate	8	1	1	0	0																		
mcp2k	18255	1	409272	0	11.925	1.302	14	426844	0	no-bundle	8	0	1	0	0																		
