arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	285311	0	11	11003	298.5871276855469	0.9238483905792236	41.514076232910156	124.90515899658203	125.3	114.9	41.5	1	0	0	0	1	0	0	3
work-mcp1k-mcs80on	285366	0	13	13000	565.41064453125	0.8695511817932129	67.70974731445312	181.8719482421875	182.6	225.9	67.7	0	0	0	0	1	0	0	5
work-mcp1k-mcs80on	285443	0	7	7000	880.054443359375	0.9400588870048523	74.86155700683594	197.23971557617188	197.9	384.1	74.9	0	0	0	0	1	0	0	5
work-mcp1k-mcs80on	285467	0	18	18000	2716.435302734375	0.9756112098693848	100.31655883789062	250.96966552734375	252.6	234.2	100.6	0	0	0	0	1	1	1	7
work-mcp1k-mcs80on	285531	0	15	15002	358.3482666015625	0.2114388644695282	150.5045623779297	356.976318359375	362.7	342.8	152.1	1	0	0	0	1	0	0	10
work-mcp1k-mcs80on	285564	0	9	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	285652	0	6	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	285665	0	9	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	285753	0	15	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	285929	0	13	13005	751.8231811523438	0.26514455676078796	277.5969543457031	633.85693359375	639.8	619.4	277.6	0	0	0	0	1	0	0	19
work-mcp1k-mcs80on	285971	0	7	7009	708.0679321289062	0.7724390029907227	113.5967025756836	278.97430419921875	280.9	292.7	113.9	1	0	0	0	1	0	0	8
