label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:q4	rms	U	4	883.032	11	781695	2.18585	1.63178	1.33716	3.99478	0.199739	3.90324	0.167581	0	0.547519
phase:q4	rms	U	5	1031.67	15	765655	1.77294	1.64125	1.43164	2.35579	0.477681	2.49919	1.45519e-11	0	0.5413
phase:q4	share	U	0	100.002	24	760876	2.20932	1.30828	0.640206	3.22291	0.445588	3.57937	1.45519e-11	0	0.508848
phase:q4	share	U	1	370.806	20	714970	3.20399	1.4493	0.94153	4.23869	2.27068	9.05156	0.468339	0	0.462708
phase:q4	share	U	2	524.559	13	805310	1.74668	1.45441	1.07568	1.98651	0.108178	2.09266	1.45519e-11	0	0.570893
phase:q4	share	U	3	697.313	13	741667	2.17011	1.52083	1.20877	2.19392	0.109696	3.85759	1.45519e-11	0	0.559153
phase:q4	share	U	4	883.032	11	781695	2.18585	1.63178	1.33716	2.37883	0.118941	3.90324	0.167581	0	0.547519
phase:q4	share	U	5	1031.67	15	765655	1.77294	1.64125	1.43164	2.53107	0.405426	2.49919	1.45519e-11	0	0.5413
phase:q4	rms	V	0	54.1356	17	564140	1.55424	1.41007	0.863075	1.38754	0.415906	1.17224	0.353303	0	0.626238
phase:q4	rms	V	1	159.818	29	766912	2.09977	1.44405	0.964831	3.52916	1.52873	3.25464	0.367551	0	0.518509
phase:q4	rms	V	2	329.831	19	710876	1.57442	1.43785	1.10911	1.58691	0.132859	1.64153	1.45519e-11	0	0.600383
phase:q4	rms	V	3	545.732	13	636863	1.72359	1.6375	1.2689	1.92542	0.414039	1.89946	0.526031	0	0.580739
phase:q4	rms	V	4	933.539	14	681069	1.99487	1.76231	1.51415	3.1918	0.649407	3.16641	0.163871	0	0.491376
phase:q4	rms	V	5	1158.04	9	728318	2.01833	1.73265	1.63944	3.31743	0.165871	3.75936	1.45519e-11	0	0.505314
phase:q4	share	V	0	54.1356	17	564140	1.55424	1.41007	0.863075	1.02685	0.212231	1.17224	0.353303	0	0.626238
phase:q4	share	V	1	159.818	29	766912	2.09977	1.44405	0.964831	2.87764	0.964645	3.25464	0.367551	0	0.518509
phase:q4	share	V	2	329.831	19	710876	1.57442	1.43785	1.10911	1.51049	0.406866	1.64153	1.45519e-11	0	0.600383
phase:q4	share	V	3	545.732	13	636863	1.72359	1.6375	1.2689	1.57192	0.486816	1.89946	0.526031	0	0.580739
phase:q4	share	V	4	933.539	14	681069	1.99487	1.76231	1.51415	3.61602	0.437918	3.16641	0.163871	0	0.491376
phase:q4	share	V	5	1158.04	9	728318	2.01833	1.73265	1.63944	3.30537	0.165269	3.75936	1.45519e-11	0	0.505314
