det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_14	67	0	1137	1139	3	1.75	2.24	66.2	-97.1	271.5	2.84	2.90	2	GAP-dead	0	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	1dead:i/1blank:t	0			
pdvd	039252_14	67	0	1173	1182	10	6.17	6.48	65.8	-120.0	271.0	1.73	1.42	2	GAP-dead	0	1.00	0.00	1.00	0.70	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i	0			
pdvd	039252_14	67	0	1186	1188	3	1.90	2.37	66.0	-125.6	271.5	1.52	0.66	1	GAP-dead	0	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_14	67	0	1191	1230	40	55.56	50.82	66.1	-154.0	287.1	10.57	3.56	3	GAP-live	0	0.07	0.00	0.07	0.03	0.00	0.30	0.35	0.00	1blank:i/1dead:i/1blank:i/3live:e	0			
pdvd	039252_14	72	0	1620	1621	2	2.47	2.98	134.6	-0.2	100.9	3.66	0.79	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i	0			
pdvd	039252_14	72	0	1646	1654	9	5.96	5.78	140.9	-12.1	106.9	3.12	3.47	1	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:t/1blank:i	0			
pdvd	039252_14	75	0	1667	1670	4	2.62	3.14	330.6	56.5	6.5	1.22	1.67	1	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1blank:t/3live:i	0	8.50	8.50	1.000
pdvd	039252_14	75	0	1674	1675	2	1.47	1.77	330.2	53.1	7.7	0.83	1.11	2	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	1.00	1.00	3live:t/3live:i	0			
pdvd	039252_14	75	0	2013	2014	2	1.31	1.80	330.8	-129.7	102.3	2.37	2.09	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	3live:t/1blank:i	0			
pdvd	039252_14	75	0	2027	2032	6	3.98	4.52	331.5	-138.9	105.5	4.53	0.43	1	GAP-live	0	0.11	0.00	0.11	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i	0			
pdvd	039252_14	75	0	2034	2046	13	8.22	8.82	331.6	-145.3	107.8	10.96	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i	0			
pdvd	039252_14	75	0	2055	2056	2	1.19	1.98	331.6	-154.2	111.1	7.00	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i	0			
pdvd	039252_14	75	0	2066	2072	7	4.16	4.61	331.6	-162.1	114.1	2.64	3.66	1	GAP-live	0	0.44	0.00	0.44	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i	0			
pdvd	039252_14	78	0	2904	2915	12	7.75	6.94	141.5	67.3	148.4	2.83	3.62	3	GAP-short	0	0.64	0.00	0.64	0.00	0.00	0.08	0.00	0.08	3live:i/1dead:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0			
pdvd	039252_14	78	0	2922	2924	3	2.03	2.64	135.0	62.7	147.7	1.84	1.88	3	GAP-short	0	0.80	0.00	0.80	0.00	0.00	0.00	0.00	0.00	3live:t/3live:i	0			
