det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_11	39	0	1170	1198	29	18.24	18.36	-222.2	584.1	89.7	9.79	2.02	3	GAP-live	0	0.11	0.00	0.11	0.00	0.00	0.03	0.00	0.00	3live:t/3live:t/3live:i/3live:i/3live:t/3live:i	0			
pdhd	028084_11	39	0	1214	1222	9	5.21	5.65	-225.5	566.0	96.2	3.25	2.94	2	GAP-live	0	0.36	0.00	0.36	0.00	0.00	0.33	0.22	0.00	3live:i/3live:t/3live:t/1blank:i	0			
pdhd	028084_11	39	0	1236	1358	123	77.03	70.59	-193.5	560.6	120.8	34.68	4.10	3	GAP-live	0	0.04	0.00	0.04	0.00	0.00	0.01	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_11	46	0	1617	1619	3	1.88	2.41	-199.2	71.6	44.5	2.08	2.94	1	GAP-live	0	0.40	0.00	0.40	0.00	0.00	0.00	0.00	0.33	3live:t/3live:i	0			
pdhd	028084_11	46	0	1623	1659	37	21.48	21.57	-196.7	61.1	51.8	11.88	1.22	3	GAP-live	0	0.09	0.00	0.09	0.00	0.00	0.11	0.54	0.00	1blank:i/3live:i/3live:i/1blank:i/3live:t	0			
pdhd	028084_11	106	0	2960	3030	71	45.10	44.64	206.5	560.7	257.7	22.47	3.98	2	GAP-live	0	0.06	0.00	0.06	0.00	0.00	0.06	0.48	0.00	1blank:i/3live:t/1blank:i/3live:t	0			
pdhd	028084_11	133	0	5006	5008	3	1.82	8.12	-107.2	549.9	229.9	1.78	2.61	2	GAP-short	0	0.56	0.00	0.56	0.00	0.00	0.00	0.00	0.33	3live:i/3live:i	0			
pdhd	028084_11	133	0	5301	5305	5	2.94	4.13	0.5	411.0	183.6	1.82	1.75	3	GAP-short	0	0.88	0.00	0.88	0.00	0.00	0.40	0.00	0.20	1blank:i/3live:i/3live:t/3live:i/3live:i	0			
pdhd	028084_12	27	0	18	19	2	1.32	2.05	-0.3	356.9	37.7	1.46	1.03	1	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.00	0.50	0.00	3live:i/1blank:i/3live:t	0			
pdhd	028084_12	29	0	65	101	37	22.25	20.67	-131.2	563.2	135.6	10.85	nan	2	GAP-live	0	0.00	0.07	0.07	0.00	0.00	0.05	0.00	0.00	3live:i/3live:i/1blank:i/3live:i	0			
