arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	029107_9	1150	356	339	235.4976	1	0.0029	8	1.0857	0.0802	1.4391	6	1
arm	028084_0	910	101	101	63.3791	0	0.0198	7	0.9692	0.3437	1.3413	2	0
arm	028084_0	970	104	89	65.6432	1	0.0000	8	1.0688	0.0873	1.7034	1	0
arm	028084_0	1170	510	510	326.8953	0	0.0000	8	0.8611	0.2630	1.1701	0	0
arm	028084_1	330	646	646	408.7819	0	0.1254	8	0.7613	0.1638	1.8066	77	2
arm	028084_1	390	270	268	176.9655	0	0.5112	8	0.3953	0.3676	0.1955	93	12
arm	028084_1	480	55	55	34.1454	0	0.1091	7	0.6310	0.3401	1.5206	4	0
arm	028084_1	530	295	295	192.5003	0	0.4441	8	0.1876	0.4671	0.6890	79	6
arm	028084_1	600	138	137	87.0746	0	0.0365	8	0.7573	0.3723	0.1168	6	1
arm	028084_1	1420	317	317	203.6808	0	0.0000	8	1.0272	0.2476	0.8267	0	0
arm	028084_10	1090	890	889	569.2713	1	0.0079	8	1.0766	0.1049	2.2426	4	1
arm	028084_11	340	381	371	240.1403	1	0.1698	8	0.8721	0.2002	1.3120	57	1
arm	028084_11	590	282	282	179.2149	0	0.0177	8	1.0599	0.1228	1.9698	4	1
arm	028084_11	1100	234	234	149.9072	0	0.0000	8	1.2055	0.2028	3.6665	0	0
arm	028084_11	1300	113	113	72.5661	0	0.0000	8	0.9533	0.2939	1.1050	0	0
arm	028084_12	330	225	225	147.0074	0	0.1822	8	0.6741	0.1887	0.6348	26	2
arm	028084_12	370	104	104	64.3433	0	0.8173	8	0.1698	0.4818	0.6326	71	6
arm	028084_12	460	267	267	166.6553	0	0.0562	8	0.7706	0.3578	1.0437	3	0
arm	028084_12	760	460	458	286.6883	0	0.2620	8	0.8501	0.5086	0.8439	80	13
arm	028084_12	1010	663	643	438.2735	1	0.0016	7	1.1280	0.0582	0.8651	1	0
arm	028084_12	1170	152	150	94.3030	1	0.0000	8	0.8862	0.3261	1.0789	0	0
